#System,Teff-K(1),Teff-K(2),Teff-K(3),FeH-dex(1),FeH-dex(2),FeH-dex(3),M1-Msun(1),M1-Msun(2),M1-Msun(3),R1-Rsun(1),R1-Rsun(2),R1-Rsun(3),logg1-cgs(1),logg1-cgs(2),logg1-cgs(3),rho1-rhosun(1),rho1-rhosun(2),rho1-rhosun(3),Porb,eccentricity(1),eccentricity(2),eccentricity(3),sep-AU(1),sep-AU(2),sep-AU(3),M2-Mjup(1),M2-Mjup(2),M2-Mjup(3),R2-Rjup(1),R2-Rjup(2),R2-Rjup(3),g2-ms2(1),g2-ms2(2),g2-ms2(3),rho2-rhoJup(1),rho2-rhoJup(2),rho2-rhoJup(3),Teq-K(1),Teq-K(2),Teq-K(3),Discovery-ref,Recent-ref
K2-132,4840,90,90,-0.01,0.08,0.08,1.08,0.08,0.08,3.85,0.13,0.13,3.297,0.007,0.007,0.0187,0.0006,0.0006,9.175,0,0.0007,0,-1,-1,-1,0.49,0.06,0.06,1.3,0.07,0.07,-1,-1,-1,-1,-1,-1,-1,-1,-1,2017AJ....154..254G,2017AJ....154..254G
K2-133b,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,3.071,-1,-1,-1,0.03194,0.00025,0.00026,-1,-1,-1,0.12,0.007,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018MNRAS.473L.131W,arXiv:1905.05206
K2-133c,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,4.868,-1,-1,-1,0.04341,0.00034,0.00035,-1,-1,-1,0.143,0.008,0.008,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018MNRAS.473L.131W,arXiv:1905.05206
K2-133d,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,11.023,-1,-1,-1,0.07487,0.00059,0.0006,-1,-1,-1,0.179,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018MNRAS.473L.131W,arXiv:1905.05206
K2-133e,3655,80,80,-1,-1,-1,0.455,0.022,0.022,0.461,0.011,0.01,-1,-1,-1,-1,-1,-1,26.584,-1,-1,-1,0.1346,0.0011,0.0011,-1,-1,-1,0.154,0.012,0.012,-1,-1,-1,-1,-1,-1,296,10,10,arXiv:1905.05206,arXiv:1905.05206
K2-136b,4499,50,50,0.15,0.03,0.03,0.74,0.02,0.02,0.66,0.02,0.02,4.66,0.02,0.02,2.5,0.13,0.12,7.975,0.1,0.19,0.07,-1,-1,-1,-1,-1,-1,0.088,0.005,0.004,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....155....4M,2018AJ....155....4M
K2-136c,4499,50,50,0.15,0.03,0.03,0.74,0.02,0.02,0.66,0.02,0.02,4.66,0.02,0.02,2.5,0.13,0.12,17.307,0.13,0.27,0.11,-1,-1,-1,-1,-1,-1,0.26,0.01,0.009,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....155....4M,2018AJ....155....4M
K2-136d,4499,50,50,0.15,0.03,0.03,0.74,0.02,0.02,0.66,0.02,0.02,4.66,0.02,0.02,2.5,0.13,0.12,25.575,0.14,0.13,0.09,-1,-1,-1,-1,-1,-1,0.129,0.01,0.007,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....155....4M,2018AJ....155....4M
K2-137,3492,70,70,0.08,0.12,0.12,0.463,0.052,0.052,0.442,0.044,0.044,4.815,0.043,0.043,-1,-1,-1,0.18,0,-1,-1,0.0058,0.0006,0.0006,0,0.7,0,0.079,0.008,0.008,-1,-1,-1,-1,-1,-1,1471,47,47,2018MNRAS.474.5523S,2018MNRAS.474.5523S
K2-138b,5350,80,80,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,2.353,0,0.189,0,0.03385,0.00023,0.00029,0.0098,0.0035,0.0035,0.135,0.01,0.007,-1,-1,-1,3.7,1.5,1.3,1308,24,20,2018AJ....155...57C,arXiv:1909.13527
K2-138c,5350,80,80,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,3.56,0,0.192,0,0.04461,0.0003,0.00038,0.0198,0.0035,0.0038,0.205,0.011,0.008,-1,-1,-1,2.1,0.51,0.46,1140,21,17,2018AJ....155...57C,arXiv:1909.13527
K2-138d,5350,80,80,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,5.405,0,0.144,0,0.05893,0.0004,0.0005,0.0249,0.0044,0.0041,0.213,0.009,0.007,-1,-1,-1,2.37,0.52,0.45,992,18,15,2018AJ....155...57C,arXiv:1909.13527
K2-138e,5350,80,80,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,8.261,0,0.183,0,0.0782,0.00053,0.00066,0.0409,0.0063,0.0063,0.302,0.012,0.01,-1,-1,-1,1.35,0.27,0.24,861,16,13,2018AJ....155...57C,arXiv:1909.13527
K2-138f,5350,80,80,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,12.758,0,0.21,0,0.10447,0.0007,0.00088,0.005,0.0066,0.0038,0.259,0.015,0.01,-1,-1,-1,0.26,0.37,0.2,745,14,11,2018AJ....155...57C,arXiv:1909.13527
K2-138g,5350,80,80,0.14,0.1,0.1,0.93,0.02,0.02,0.86,0.03,0.02,4.54,0.02,0.04,1.46,0.1,0.19,12.758,0,0.226,0,0.23109,0.00154,0.00196,0.0135,0.0167,0.0094,0.269,0.027,0.022,-1,-1,-1,0.65,0.81,0.45,501,9,7,arXiv:1909.13527,arXiv:1909.13527
K2-139,5340,110,110,0.22,0.08,0.08,0.919,0.033,0.033,0.862,0.032,0.032,4.5,0.09,0.09,1.43,0.18,0.16,28.382,0.12,0.12,0.08,0.179,0.029,0.027,0.387,0.083,0.075,0.808,0.034,0.033,-1,-1,-1,0.69,0.18,0.15,565,48,32,2018MNRAS.475.1765B,2018MNRAS.475.1765B
K2-140,5654,55,55,0.12,0.045,0.045,1.005,0.021,0.02,0.987,0.011,0.011,4.452,0.01,0.009,1.048,0.041,0.041,6.569,0.12,0.056,0.046,0.0591,0.0034,0.0034,1.019,0.07,0.07,1.095,0.018,0.018,21.1,1.7,1.5,0.726,0.062,0.062,1114,34,34,2018MNRAS.475.1809G,2018MNRAS.475.1809G
K2-141b,4599,79,79,-0.06,0.08,0.1,0.706,0.021,0.015,0.6862,0.0066,0.008,4.62,0.02,0.03,2.74,0.11,0.13,0.28,0,-1,-1,0.00716,0.00055,0.00065,0.0162,0.0011,0.0011,0.1332,0.0037,0.0031,-1,-1,-1,6.4,1,0.9,2039,87,48,2018A+A...612A..95B,arXiv:1908.06299
K2-141c,4599,79,79,-0.06,0.08,0.1,0.708,0.028,0.028,0.681,0.018,0.018,4.62,0.02,0.03,2.244,0.161,0.161,7.749,0,-1,-1,-1,-1,-1,0,0.0233,0,0.62,0.41,0.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....155..107M,2018AJ....155..107M
K2-146b,3385,70,70,-0.02,0.12,0.12,0.331,0.009,0.009,0.33,0.01,0.01,4.906,0.041,0.041,9.3,0.8,0.8,2.645,0.129,0.019,0.019,-1,-1,-1,0.0182,0.0002,0.0002,0.183,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....156..277L,arXiv:1907.10620
K2-146c,3385,70,70,-0.02,0.12,0.12,0.331,0.009,0.009,0.33,0.01,0.01,4.906,0.041,0.041,9.3,0.8,0.8,4.005,0.075,0.016,0.016,-1,-1,-1,0.0236,0.0003,0.0003,0.195,0.006,0.006,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....156..277L,arXiv:1907.10620
K2-155b,3919,70,70,-0.42,0.12,0.12,0.54,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,6.344,0,-1,-1,0.0546,0.0019,0.0019,-1,-1,-1,0.138,0.018,0.015,-1,-1,-1,-1,-1,-1,708,38,31,arXiv:1801.06249,2018AJ....155..124H
K2-155c,3919,70,70,-0.42,0.12,0.12,0.54,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,13.854,0,-1,-1,0.092,0.0032,0.0032,-1,-1,-1,0.174,0.024,0.02,-1,-1,-1,-1,-1,-1,583,52,38,arXiv:1801.06249,2018AJ....155..124H
K2-155d,3919,70,70,-0.42,0.12,0.12,0.54,0.056,0.056,0.526,0.053,0.053,4.732,0.046,0.046,3.84,0.79,0.79,40.634,0,-1,-1,0.1886,0.0066,0.0066,-1,-1,-1,0.146,0.016,0.016,-1,-1,-1,-1,-1,-1,381,47,25,arXiv:1801.06249,2018AJ....155..124H
K2-168b,5503,101,51,-1,-1,-1,0.877,0.06,0.029,0.83,0.087,0.043,-1,-1,-1,-1,-1,-1,15.852,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.166,0.021,0.01,-1,-1,-1,-1,-1,-1,766,16,8,2018AJ....155..136M,2019ApJ...880L...5H
K2-168c,5503,101,51,-1,-1,-1,0.877,0.06,0.029,0.83,0.087,0.043,-1,-1,-1,-1,-1,-1,8.051,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117,0.013,0.006,-1,-1,-1,-1,-1,-1,961,21,10,2019ApJ...880L...5H,2019ApJ...880L...5H
K2-180,5110,107,107,-0.65,0.1,0.1,0.71,0.03,0.03,0.69,0.02,0.02,4.3,0.2,0.2,2.15,0.28,0.28,8.867,0,-1,-1,0.075,0.001,0.001,0.036,0.006,0.006,0.2,0.011,0.011,-1,-1,-1,4.2,1.4,1.4,729,49,49,arXiv:1810.04601,arXiv:1810.04601
K2-182,5710,100,100,0.12,0.06,0.06,0.865,0.016,0.018,0.793,0.013,0.011,4.61,0.1,0.1,-1,-1,-1,4.737,0.04,0.19,0.03,0.0526,0.0003,0.0003,0.063,0.016,0.016,0.24,0.006,0.004,-1,-1,-1,4.2,1.1,1.1,969,20,20,2018AJ....155..136M,arXiv:2110.05502
K2-198b,5213,99,49,-1,-1,-1,0.799,0.091,0.045,0.757,0.035,0.016,-1,-1,-1,-1,-1,-1,17.043,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.374,0.02,0.009,-1,-1,-1,-1,-1,-1,716,19,9,2018AJ....155..136M,2019ApJ...880L...5H
K2-198c,5213,99,49,-1,-1,-1,0.799,0.091,0.045,0.757,0.035,0.016,-1,-1,-1,-1,-1,-1,3.36,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.127,0.007,0.003,-1,-1,-1,-1,-1,-1,1230,32,16,2019ApJ...880L...5H,2019ApJ...880L...5H
K2-198d,5213,99,49,-1,-1,-1,0.799,0.091,0.045,0.757,0.035,0.016,-1,-1,-1,-1,-1,-1,7.45,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.218,0.012,0.005,-1,-1,-1,-1,-1,-1,943,25,12,2019ApJ...880L...5H,2019ApJ...880L...5H
K2-199b,4491,100,100,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,-1,-1,-1,-1,-1,-1,3.225,0.02,0.03,0.02,0.0382,0.0004,0.0004,0.022,0.006,0.006,0.154,0.005,0.004,-1,-1,-1,5.4,1.6,1.5,913,23,23,2018AJ....155..136M,arXiv:2110.05502
K2-199c,4491,100,100,-0.01,0.09,0.09,0.711,0.022,0.024,0.682,0.014,0.014,-1,-1,-1,-1,-1,-1,7.374,0.03,0.06,0.03,0.0662,0.0007,0.0007,0.039,0.007,0.007,0.254,0.009,0.008,-1,-1,-1,2.2,0.5,0.5,694,17,17,2018AJ....155..136M,arXiv:2110.05502
K2-216,4503,140,140,0,0.12,0.21,0.7,0.03,0.03,0.72,0.05,0.05,4.57,0.09,0.09,1.6,0.6,1,2.175,0,-1,-1,0.028,0.004,0.007,0.023,0.007,0.007,0.16,0.02,0.01,-1,-1,-1,5.7,2.3,2.2,1103,163,64,arXiv:1805.04774,arXiv:1805.04774
K2-229b,5185,32,32,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,0.584,0,-1,-1,0.01288,0.00013,0.00013,0.0078,0.0013,0.0014,0.1068,0.004,0.0043,-1,-1,-1,6,1.7,1.7,1960,40,40,2018NatAs...2..393S,arXiv:1908.06299
K2-229c,5185,32,32,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,8.328,0,-1,-1,0.07577,0.00076,0.00076,0,0.067,0,0.189,0.01,0.007,-1,-1,-1,0,9.6,0,800,20,20,2018NatAs...2..393S,arXiv:1908.06299
K2-229d,5185,32,32,-0.06,0.02,0.02,0.804,0.038,0.048,0.781,0.012,0.012,4.56,0.03,0.05,1.69,0.13,0.14,31,0,-1,-1,0.182,0.0042,0.0042,0,0.079,0,0.236,0.021,0.021,-1,-1,-1,0,7.2,0,522,13,13,2018NatAs...2..393S,arXiv:1908.06299
K2-231,5695,50,50,0.14,0.04,0.04,1.01,0.03,0.03,0.95,0.03,0.03,4.48,0.03,0.03,-1,-1,-1,13.842,0,-1,-1,-1,-1,-1,-1,-1,-1,0.22,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,2018AJ....155..173C,2018AJ....155..173C
K2-232,6154,60,60,0.1,0.04,0.04,1.118,0.028,0.026,1.161,0.024,0.024,4.379,0.017,0.017,-1,-1,-1,11.168,0.258,0.025,0.025,0.10356,0.00081,0.00077,0.398,0.037,0.037,1,0.022,0.02,-1,-1,-1,-1,-1,-1,1030,15,15,2018MNRAS.477.2572B,2018MNRAS.477.2572B
K2-233b,5033,41,35,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,2.467,0.079,0.048,0.029,0.03308,0.0001,0.00009,0.01,0.009,0.007,0.1198,0.0016,0.0014,-1,-1,-1,5.7,5.1,3.8,1121,10,9,2018AJ....155..222D,arXiv:2006.01102
K2-233c,5033,41,35,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,7.061,0.07,0.045,0.035,0.06666,0.0002,0.00018,0.016,0.01,0.009,0.1143,0.002,0.0019,-1,-1,-1,10,6.4,5.7,790,7,6,2018AJ....155..222D,arXiv:2006.01102
K2-233d,5033,41,35,-0.09,0.03,0.03,0.79,0.01,0.01,0.71,0.01,0.01,4.64,0.01,0.01,2.25,0.04,0.03,24.366,0.062,0.043,0.042,0.15224,0.00046,0.00042,0.026,0.016,0.015,0.2104,0.0038,0.0032,-1,-1,-1,2.6,1.7,1.5,523,5,4,2018AJ....155..222D,arXiv:2006.01102
K2-234,5499,73,73,0.45,0.04,0.04,1.12,0.04,0.01,1.657,0.02,0.004,4.044,0.006,0.004,0.243,0.002,0.002,11.814,0.203,0.031,0.031,0.105,0.0013,0.0013,0.112,0.01,0.01,0.612,0.012,0.012,-1,-1,-1,0.459,0.051,0.051,1053,14,14,arXiv:1803.02858,arXiv:1805.01860
K2-237,6099,110,110,0,0.08,0.08,1.22,0.53,0.05,1.34,0.03,0.03,4.24,0.1,0.1,0.102,0.012,0.01,2.181,0,-1,-1,0.0352,0.001,0.001,1.231,0.043,0.043,1.57,0.054,0.054,-1,-1,-1,0.318,0.035,0.035,1817,36,36,arXiv:1801.07959,arXiv:1807.05865
K2-265,5477,27,27,0.078,0.02,0.02,0.915,0.017,0.017,0.977,0.053,0.053,4.419,0.053,0.053,0.98,0.19,0.19,2.369,0.084,0.079,0.079,0.03376,0.00021,0.00021,0.0206,0.0026,0.0026,0.153,0.01,0.01,-1,-1,-1,5.4,1.4,1.4,-1,-1,-1,arXiv:1809.08869,arXiv:1809.08869
K2-280,5500,100,100,0.33,0.08,0.08,1.03,0.03,0.03,1.28,0.07,0.07,4.31,0.05,0.05,0.57,0.11,0.09,19.895,0.35,0.05,0.04,0.1461,0.0099,0.0097,0.117,0.018,0.018,0.669,0.039,0.039,6.5,1.1,1,0.36,0.1,0.08,787,17,17,2018AJ....156..277,arXiv:2007.07939
K2-286,3926,100,100,0,0.5,0.5,0.64,0.02,0.02,0.62,0.02,0.02,4.7,0.2,0.2,-1,-1,-1,27.359,-1,-1,-1,0.177,0.018,0.021,-1,-1,-1,0.188,0.018,0.018,-1,-1,-1,-1,-1,-1,347,21,11,arXiv:1901.04739,arXiv:1901.04739
K2-287,5625,64,64,0.27,0.04,0.04,1.03,0.04,0.04,1.1,0.01,0.01,4.32,0.11,0.11,-1,-1,-1,14.893,0.478,0.025,0.026,0.1204,0.0008,0.0011,0.31,0.03,0.03,0.88,0.01,0.01,-1,-1,-1,-1,-1,-1,808,7,9,2019AJ....157..100J,arXiv:2106.11331
K2-291,5520,60,60,0.08,0.04,0.04,0.926,0.046,0.048,0.904,0.012,0.012,4.5,0.05,0.05,1.26,0.09,0.1,2.225,0,-1,-1,0.03261,0.00044,0.00044,0.0201,0.0035,0.0035,0.1411,0.0033,0.0037,-1,-1,-1,6.7,1.7,1.7,-1,-1,-1,arXiv:1901.04558,arXiv:1908.06299
K2-293,5532,78,78,0.218,0.08,0.08,0.958,0.036,0.034,0.947,0.089,0.055,4.52,0.13,0.13,-1,-1,-1,13.123,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.219,0.031,0.022,-1,-1,-1,-1,-1,-1,750,170,50,arXiv:1903.10507,arXiv:1903.10507
K2-294,5612,50,50,0.194,0.08,0.08,0.987,0.034,0.03,1.2,0.13,0.12,4.2,0.1,0.1,-1,-1,-1,2.504,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.148,0.019,0.017,-1,-1,-1,-1,-1,-1,1425,79,54,arXiv:1903.10507,arXiv:1903.10507
KELT-01,6516,49,49,0.052,0.079,0.079,1.335,0.063,0.063,1.471,0.045,0.035,4.337,0.014,0.021,0.421,0.019,0.03,1.218,0.01,0.01,0.007,0.02472,0.00039,0.00039,27.38,0.93,0.93,1.116,0.038,0.029,545,22,30,18.5,1.1,1.6,2423,34,27,2012ApJ...761..123S,2012ApJ...761..123S
KELT-02,6151,48,48,0.034,0.078,0.078,1.314,0.063,0.06,1.836,0.066,0.046,4.03,0.015,0.026,-1,-1,-1,4.114,0,-1,-1,0.05504,0.00086,0.00086,1.524,0.088,0.088,1.29,0.064,0.05,-1,-1,-1,-1,-1,-1,1712,28,20,2012ApJ...756L..39B,2012ApJ...756L..39B
KELT-03,6306,50,49,0.044,0.08,0.082,1.278,0.062,0.061,1.472,0.065,0.067,4.209,0.033,0.031,0.4,0.05,0.042,2.703,0,-1,-1,0.04122,0.00066,0.00067,1.477,0.066,0.064,1.345,0.072,0.072,20.2,2.2,1.8,0.57,0.09,0.08,1811,43,44,2013ApJ...773...64P,2013ApJ...773...64P
KELT-04,6206,75,75,-0.116,0.065,0.069,1.201,0.067,0.061,1.603,0.039,0.038,4.108,0.014,0.014,0.291,0.012,0.012,2.99,0,0.138,0,0.04317,0.00079,0.00074,0.902,0.06,0.059,1.699,0.046,0.045,7.74,0.53,0.52,0.172,0.014,0.014,1823,27,27,2016AJ....151...45E,2016AJ....151...45E
KELT-06,6246,88,88,-0.22,0.06,0.06,1.11,0.06,0.06,1.34,0.06,0.06,4.22,0.09,0.09,-1,-1,-1,7.846,0.22,0.12,0.1,0.07939,0.001,0.00099,0.44,0.02,0.02,1.02,0.05,0.05,-1,-1,-1,0.2,0.03,0.03,1313,59,38,2014AJ....147...39C,arXiv:2106.11331
KELT-07,6789,50,49,0.139,0.075,0.081,1.535,0.066,0.054,1.732,0.043,0.045,4.149,0.019,0.019,0.297,0.019,0.018,2.735,0,-1,-1,0.04415,0.00062,0.00052,1.28,0.18,0.18,1.533,0.046,0.047,13.5,2,2,0.333,0.055,0.051,2048,27,27,2015AJ....150...12B,2015AJ....150...12B
KELT-08,5754,54,55,0.272,0.038,0.038,1.211,0.078,0.066,1.67,0.14,0.12,4.078,0.049,0.054,0.262,0.052,0.048,3.244,0.035,0.05,0.025,0.04571,0.00096,0.00084,0.867,0.065,0.061,1.86,0.18,0.16,6.2,1.1,1,0.126,0.035,0.029,1675,61,55,2015ApJ...810...30F,2015ApJ...810...30F
KELT-09,9600,400,400,0.14,0.3,0.3,2.32,0.16,0.16,2.418,0.058,0.058,4.037,0.038,0.04,0.164,0.018,0.018,1.481,0,0.035,0,0.03368,0.00078,0.00078,2.88,0.35,0.35,1.936,0.047,0.047,19,2.5,2.4,0.37,0.054,0.05,3921,182,174,2017Natur.546..514G,arXiv:1907.10078
KELT-10,5948,74,74,0.09,0.11,0.1,1.112,0.055,0.061,1.209,0.047,0.035,4.319,0.02,0.03,0.889,0.062,0.088,4.166,0,0.07,0,0.0525,0.00086,0.00097,0.679,0.039,0.038,1.399,0.069,0.049,8.57,0.66,0.77,0.232,0.025,0.03,1377,28,23,2016MNRAS.459.4281K,2016MNRAS.459.4281K
KELT-11,5375,25,25,0.17,0.07,0.07,1.44,0.07,0.07,2.69,0.04,0.04,3.7,0.1,0.1,0.074,0.002,0.002,4.736,0.007,0.002,0.006,0.06229,0.00088,0.00076,0.171,0.015,0.015,1.35,0.1,0.1,2.55,0.52,0.46,0.07,0.021,0.018,1712,51,46,2017AJ....153..215P,2017AJ....154...25B
KELT-15,6003,56,52,0.047,0.032,0.032,1.181,0.051,0.05,1.481,0.091,0.041,4.234,0.045,0.041,0.457,0.078,0.061,3.329,0,0.39,0,0.04613,0.00065,0.00065,1.196,0.072,0.072,1.52,0.12,0.11,12.8,2.1,1.8,0.317,0.083,0.063,1904,54,54,2016AJ....151..138R,2016AJ....151..138R
KELT-16,6237,55,54,0,0.085,0.081,1.195,0.044,0.044,1.315,0.018,0.018,4.278,0.008,0.008,0.526,0.01,0.01,0.969,0,0.175,0,0.02035,0.00025,0.00025,2.71,0.16,0.16,1.383,0.025,0.025,35.1,2,2,0.968,0.062,0.062,2417,22,22,2017AJ....153...97O,arXiv:2105.00889
KELT-17,7454,49,49,-0.018,0.074,0.072,1.635,0.066,0.061,1.645,0.06,0.055,4.22,0.022,0.024,0.367,0.032,0.03,3.08,0,0.39,0,0.04881,0.00065,0.00061,1.31,0.28,0.29,1.525,0.065,0.06,13.9,3.2,3.1,0.35,0.09,0.08,2087,32,33,2016AJ....152..136Z,2016AJ....152..136Z
KELT-18,6670,120,120,0.09,0.13,0.13,1.524,0.069,0.068,1.908,0.042,0.035,4.06,0.01,0.014,0.22,0.005,0.01,2.872,0,0.27,0,0.0455,0.00067,0.00069,1.18,0.11,0.11,1.57,0.042,0.036,11.8,1.1,1.1,0.284,0.03,0.03,2085,39,38,2017AJ....153..263M,2017AJ....153..263M
KELT-19,7500,110,110,-0.12,0.51,0.51,1.62,0.25,0.2,1.83,0.099,0.099,4.127,0.029,0.029,0.266,0.022,0.019,4.612,0,-1,-1,0.0637,0.0031,0.0027,0,4.07,0,1.91,0.11,0.11,-1,-1,-1,-1,-1,-1,1935,38,38,2018AJ....155...35S,2018AJ....155...35S
KELT-20,8730,250,260,-0.29,0.22,0.36,1.76,0.14,0.2,1.561,0.058,0.064,4.292,0.017,0.02,0.457,0.025,0.025,3.474,0,-1,-1,0.0542,0.0014,0.0021,0,3.5,0,1.735,0.07,0.075,-1,-1,-1,-1,-1,-1,2261,73,73,2017AJ....154..194L,2017AJ....154..194L
KELT-21,7598,81,84,-0.405,0.032,0.033,1.458,0.029,0.028,1.638,0.034,0.034,4.173,0.015,0.014,0.332,0.018,0.017,3.613,0,-1,-1,0.05224,0.00035,0.00034,0,3.9,0,1.586,0.039,0.04,0,38.9,0,0,0.93,0,2051,29,30,arXiv:1712.03241,arXiv:1712.03241
KELT-23,5900,49,49,-0.105,0.077,0.077,0.945,0.06,0.054,0.995,0.015,0.015,4.418,0.026,0.025,0.957,0.064,0.059,2.255,0,0.067,0,0.03303,0.00068,0.00064,0.938,0.045,0.042,1.322,0.025,0.025,13.3,0.82,0.77,0.38,0.029,0.026,1561,20,20,arXiv:1903.00031,arXiv:1903.00031
KELT-24,6508,49,49,0.188,0.077,0.077,1.461,0.056,0.06,1.506,0.022,0.022,4.248,0.018,0.021,0.428,0.023,0.023,5.552,0.077,0.024,0.026,0.06971,0.00088,0.00096,5.18,0.22,0.21,1.272,0.021,0.022,79.4,3.9,3.9,2.35,0.14,0.14,1458,16,16,arXiv:1906.03276,arXiv:1906.03276
KELT-25,8280,440,180,0.3,0.13,0.21,2.18,0.12,0.11,2.264,0.048,0.052,4.064,0.032,0.026,0.186,0.018,0.013,4.401,-1,-1,-1,0.0681,0.0012,0.0011,0,64,0,1.642,0.039,0.043,0,590,0,0,14,0,2306,100,47,arXiv:1912.01017,arXiv:1912.01017
Kepler-004,5857,120,120,0.17,0.06,0.06,1.173,0.196,0.1,1.48,0.33,0.13,4.168,0.063,0.133,0.362,0.081,0.136,3.214,0,-1,-1,0.0449,0.0024,0.0012,0.075,0.013,0.011,0.368,0.074,0.034,13.8,3.3,4.5,1.41,0.48,0.62,1620,140,60,2010ApJ...713L.126B,2011MNRAS.417.2166S
Kepler-005,6297,60,60,0.04,0.06,0.06,1.296,0.041,0.037,1.544,0.055,0.042,4.174,0.023,0.024,0.352,0.025,0.029,3.548,0,-1,-1,0.04967,0.00052,0.00047,2.034,0.05,0.046,1.209,0.035,0.03,34.5,1.7,1.9,1.077,0.08,0.086,1692,29,25,2010ApJ...713L.131K,2011MNRAS.417.2166S
Kepler-006,5647,50,50,0.34,0.05,0.05,1.114,0.158,0.073,1.261,0.061,0.028,4.284,0.018,0.012,0.5555,0.0076,0.0209,3.235,0,-1,-1,0.04438,0.00197,0.00096,0.633,0.061,0.034,1.169,0.056,0.026,11.48,0.39,0.54,0.37,0.015,0.026,1451,15,13,2010ApJ...713L.136D,2011MNRAS.417.2166S
Kepler-007,5933,50,50,0.11,0.05,0.05,1.413,0.1,0.1,2.028,0.038,0.038,3.974,0.018,0.018,0.169,0.007,0.007,4.885,0,-1,-1,0.06324,0.00099,0.00099,0.453,0.068,0.068,1.649,0.038,0.038,4.13,0.35,0.35,0.094,0.009,0.009,1619,15,15,2010ApJ...713L.140L,2012MNRAS.426.1291S
Kepler-008,6213,150,150,-0.055,0.05,0.05,1.23,0.072,0.072,1.495,0.037,0.037,4.178,0.022,0.022,0.368,0.014,0.014,3.523,0,-1,-1,0.0485,0.0012,0.0012,0.59,0.12,0.12,1.381,0.037,0.037,7.7,1.4,1.4,0.21,0.04,0.04,1662,41,41,2010ApJ...724.1108J,2011MNRAS.417.2166S
Kepler-009b,5774,60,60,0.05,0.07,0.07,1.022,0.029,0.039,0.958,0.02,0.02,4.49,0.02,0.03,1.16,0.08,0.09,19.243,0.06378,0.0004,0.0004,0.1428,0.0014,0.0014,0.1365,0.005,0.0063,0.736,0.008,0.008,-1,-1,-1,0.317,0.045,0.068,-1,-1,-1,2010Sci...330...51H,arXiv:1901.05471
Kepler-009c,5774,60,60,0.05,0.07,0.07,1.022,0.029,0.039,0.958,0.02,0.02,4.49,0.02,0.03,1.16,0.08,0.09,38.909,0.06799,0.00007,0.00007,0.2289,0.0022,0.0022,0.0941,0.0035,0.0041,0.721,0.008,0.008,-1,-1,-1,0.234,0.038,0.045,-1,-1,-1,2010Sci...330...51H,arXiv:1901.05471
